05580617+0745315 5474 84 3.12 0.21 -0.39 0.08 1.78 0.00 2.455 Br22
05581299+0740550 5265 81 3.43 0.21 -0.18 0.07 1.79 0.32 2.455 Br22
05581758+0743116 6134 83 4.13 0.22 -0.29 0.08 3.08 0.17 2.455 Br22
05582744+0745385 5036 66 3.07 0.17 -0.14 0.06 0.87 0.31 2.455 Br22
05582846+0744158 6175 82 4.51 0.22 -0.04 0.08 3.10 0.18 2.455 Br22
05583767+0748280 5046 63 3.06 0.18 -0.20 0.05 0.73 0.24 2.455 Br22
05581989+0743559 4962 32 2.45 0.06 -0.30 0.05 0.81 0.00 2.455 Br22
05582518+0747593 4930 32 2.73 0.06 -0.17 0.04 0.75 0.12 2.455 Br22
05582595+0746114 4329 44 1.74 0.07 -0.38 0.04 0.03 0.08 2.455 Br22
05582915+0745331 4813 33 2.69 0.05 -0.36 0.05 0.33 0.00 2.455 Br22
05583017+0742597 5127 34 2.83 0.05 -0.24 0.05 0.81 0.00 2.455 Br22
05583046+0746119 4743 55 2.55 0.09 -0.23 0.04 1.24 0.09 2.455 Br22
05583091+0746314 4963 34 2.64 0.05 -0.25 0.04 0.82 0.12 2.455 Br22
06410841-1629195 4949 33 2.52 0.05 -0.32 0.04 0.43 0.00 2.455 Br25
06412105-1629038 4221 41 1.43 0.07 -0.49 0.05 -1.00 0.00 2.455 Br25
06411660-1628161 4675 33 2.52 0.05 -0.16 0.05 0.07 0.00 2.455 Br25
06412040-1628236 4577 34 2.28 0.06 -0.07 0.06 -0.17 0.00 2.455 Br25
06411680-1630203 4864 34 2.82 0.05 -0.24 0.04 0.07 0.00 2.455 Br25
06530432+1655393 5020 32 2.62 0.05 -0.39 0.05 0.96 0.00 #N/A Br29
06530808+1655402 5016 32 2.61 0.06 -0.40 0.05 1.04 0.00 #N/A Br29
06525548+1657393 5077 31 2.68 0.05 -0.33 0.05 0.49 0.00 #N/A Br29
06530160+1656211 5095 34 2.81 0.05 -0.24 0.05 0.63 0.97 #N/A Br29
06530448+1657446 4997 31 2.38 0.05 -0.44 0.05 0.40 0.00 #N/A Br29
06575682+0311282 5000 30 2.73 0.05 -0.18 0.05 -0.56 0.00 0.295 Br30
06571912+0311189 6447 67 4.09 0.17 -0.40 0.06 2.67 0.16 0.295 Br30
06571915+0318220 6124 65 4.04 0.17 -0.36 0.05 2.91 0.08 0.295 Br30
06572395+0315210 6108 65 3.83 0.18 -0.61 0.06 2.68 0.09 0.295 Br30
06572412+0311529 5941 65 4.29 0.17 -0.32 0.05 2.63 0.09 0.295 Br30
06572459+0311391 6017 65 4.18 0.17 -0.13 0.06 3.32 0.09 0.295 Br30
06572585+0312254 6299 67 4.17 0.17 -0.35 0.05 2.34 0.22 0.295 Br30
06572596+0317031 6239 67 3.85 0.17 -0.26 0.05 2.66 0.11 0.295 Br30
06572752+0317254 5771 63 4.24 0.17 -0.35 0.05 2.64 0.10 0.295 Br30
06572895+0317268 6203 65 4.25 0.18 -0.81 0.05 2.78 0.09 0.295 Br30
06573431+0316056 6327 82 3.61 0.22 -0.46 0.08 2.08 0.00 0.295 Br30
06574080+0312343 6506 64 3.95 0.18 -0.35 0.05 2.67 0.14 0.295 Br30
06574410+0313443 6869 69 4.05 0.21 -0.32 0.06 2.81 0.19 0.295 Br30
06574586+0319220 6887 65 4.07 0.18 -0.14 0.06 3.06 0.12 0.295 Br30
06574610+0314527 6890 99 4.42 0.26 0.31 0.12 3.50 0.16 0.295 Br30
06574688+0316593 6543 64 4.12 0.17 -0.27 0.05 2.66 0.00 0.295 Br30
06575649+0313337 6754 99 4.27 0.26 0.42 0.07 3.12 0.16 0.295 Br30
06575797+0312024 6759 70 4.19 0.21 -0.08 0.05 2.78 0.00 0.295 Br30
06580092+0315491 6885 67 4.00 0.17 -0.06 0.05 2.70 0.00 0.295 Br30
06571797+0310598 5862 65 4.48 0.17 -0.28 0.05 3.11 0.09 0.295 Br30
06571836+0313091 5552 81 3.47 0.22 -0.19 0.07 2.11 0.00 0.295 Br30
06571911+0314136 6102 105 4.30 0.33 -0.05 0.09 3.08 0.14 0.295 Br30
06572032+0315272 5833 65 4.30 0.17 -0.58 0.06 2.66 0.12 0.295 Br30
06572363+0308198 6066 65 4.48 0.17 -0.41 0.06 1.93 0.00 0.295 Br30
06572425+0313359 6251 66 3.98 0.17 -0.13 0.05 2.68 0.00 0.295 Br30
06572448+0318245 5952 65 3.84 0.17 -0.45 0.05 2.98 0.12 0.295 Br30
06572501+0309031 5394 82 4.80 0.22 -0.26 0.07 1.74 0.00 0.295 Br30
06572592+0306530 6124 81 3.39 0.21 -0.32 0.08 2.70 0.21 0.295 Br30
06572773+0312107 6696 82 3.94 0.22 -0.04 0.07 3.23 0.18 0.295 Br30
06572822+0309545 6420 106 4.17 0.34 -0.32 0.10 2.58 0.00 0.295 Br30
06572830+0313317 5894 65 4.41 0.17 -0.64 0.05 2.36 0.13 0.295 Br30
06572839+0316420 5966 81 3.70 0.21 -0.87 0.08 2.18 0.00 0.295 Br30
06572993+0315357 6127 103 4.34 0.33 -0.23 0.10 2.35 0.27 0.295 Br30
06573000+0308368 5579 81 4.96 0.22 -0.37 0.08 2.31 0.19 0.295 Br30
06573016+0318552 6680 83 3.98 0.22 -0.21 0.08 2.48 0.00 0.295 Br30
06573018+0317533 5916 65 4.46 0.18 -0.34 0.06 2.78 0.11 0.295 Br30
06573023+0315144 5741 82 4.06 0.22 -0.50 0.07 2.23 0.25 0.295 Br30
06573125+0317556 6609 104 4.02 0.33 -0.08 0.09 3.08 0.17 0.295 Br30
06573229+0309597 6349 80 3.50 0.22 -0.25 0.08 2.89 0.15 0.295 Br30
06573257+0315106 6360 84 3.86 0.22 -0.66 0.08 3.31 0.19 0.295 Br30
06573398+0311450 6744 64 4.06 0.17 -0.06 0.05 2.61 0.00 0.295 Br30
06573478+0306500 6777 82 3.65 0.22 -0.01 0.08 2.57 0.00 0.295 Br30
